,No,Branch_Code,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Egg_Group1,Egg_Group2,Category,Region_Form,is_mega
0,1,1_0,Bulbasaur,Bulbasaur,1,0.7,6.9,Grass,Poison,Overgrow,,Chlorophyll,Green,Monster,Grass,Ordinary,,False
1,2,2_0,Ivysaur,Ivysaur,1,1.0,13.0,Grass,Poison,Overgrow,,Chlorophyll,Green,Monster,Grass,Ordinary,,False
2,3,3_0,Venusaur,Venusaur,1,2.0,100.0,Grass,Poison,Overgrow,,Chlorophyll,Green,Monster,Grass,Ordinary,,False
3,3,3_1,Venusaur,Mega Venusaur,1,2.4,155.5,Grass,Poison,Thick Fat,,,Green,Monster,Grass,Ordinary,,True
4,4,4_0,Charmander,Charmander,1,0.6,8.5,Fire,,Blaze,,Solar Power,Red,Monster,Dragon,Ordinary,,False
5,5,5_0,Charmeleon,Charmeleon,1,1.1,19.0,Fire,,Blaze,,Solar Power,Red,Monster,Dragon,Ordinary,,False
6,6,6_0,Charizard,Charizard,1,1.7,90.5,Fire,Flying,Blaze,,Solar Power,Red,Monster,Dragon,Ordinary,,False
7,6,6_1,Charizard,Mega Charizard X,1,1.7,110.5,Fire,Dragon,Tough Claws,,,Black,Monster,Dragon,Ordinary,,True
8,6,6_2,Charizard,Mega Charizard Y,1,1.7,100.5,Fire,Flying,Drought,,,Red,Monster,Dragon,Ordinary,,True
9,7,7_0,Squirtle,Squirtle,1,0.5,9.0,Water,,Torrent,,Rain Dish,Blue,Monster,Water1,Ordinary,,False
10,8,8_0,Wartortle,Wartortle,1,1.0,22.5,Water,,Torrent,,Rain Dish,Blue,Monster,Water1,Ordinary,,False
11,9,9_0,Blastoise,Blastoise,1,1.6,85.5,Water,,Torrent,,Rain Dish,Blue,Monster,Water1,Ordinary,,False
12,9,9_1,Blastoise,Mega Blastoise,1,1.6,101.1,Water,,Mega Launcher,,,Blue,Monster,Water1,Ordinary,,True
13,10,10_0,Caterpie,Caterpie,1,0.3,2.9,Bug,,Shield Dust,,Run Away,Green,Bug,,Ordinary,,False
14,11,11_0,Metapod,Metapod,1,0.7,9.9,Bug,,Shed Skin,,,Green,Bug,,Ordinary,,False
15,12,12_0,Butterfree,Butterfree,1,1.1,32.0,Bug,Flying,Compound Eyes,,Tinted Lens,White,Bug,,Ordinary,,False
16,13,13_0,Weedle,Weedle,1,0.3,3.2,Bug,Poison,Shield Dust,,Run Away,Brown,Bug,,Ordinary,,False
17,14,14_0,Kakuna,Kakuna,1,0.6,10.0,Bug,Poison,Shed Skin,,,Yellow,Bug,,Ordinary,,False
18,15,15_0,Beedrill,Beedrill,1,1.0,29.5,Bug,Poison,Swarm,,Sniper,Yellow,Bug,,Ordinary,,False
19,15,15_1,Beedrill,Mega Beedrill,1,1.4,40.5,Bug,Poison,Adaptability,,,Yellow,Bug,,Ordinary,,True
20,16,16_0,Pidgey,Pidgey,1,0.3,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,Flying,,Ordinary,,False
21,17,17_0,Pidgeotto,Pidgeotto,1,1.1,30.0,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,Flying,,Ordinary,,False
22,18,18_0,Pidgeot,Pidgeot,1,1.5,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,Flying,,Ordinary,,False
23,18,18_1,Pidgeot,Mega Pidgeot,1,2.2,50.5,Normal,Flying,No Guard,,,Brown,Flying,,Ordinary,,True
24,19,19_0,Rattata,Rattata,1,0.3,3.5,Normal,,Run Away,Guts,Hustle,Purple,Ground,,Ordinary,,False
25,19,19_1,Rattata,Alolan Rattata,7,0.3,3.8,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,Ground,,Ordinary,Alolan,False
26,20,20_0,Raticate,Raticate,1,0.7,18.5,Normal,,Run Away,Guts,Hustle,Brown,Ground,,Ordinary,,False
27,20,20_1,Raticate,Alolan Raticate,7,0.7,25.5,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,Ground,,Ordinary,Alolan,False
28,21,21_0,Spearow,Spearow,1,0.3,2.0,Normal,Flying,Keen Eye,,Sniper,Brown,Flying,,Ordinary,,False
29,22,22_0,Fearow,Fearow,1,1.2,38.0,Normal,Flying,Keen Eye,,Sniper,Brown,Flying,,Ordinary,,False
30,23,23_0,Ekans,Ekans,1,2.0,6.9,Poison,,Intimidate,Shed Skin,Unnerve,Purple,Ground,Dragon,Ordinary,,False
31,24,24_0,Arbok,Arbok,1,3.5,65.0,Poison,,Intimidate,Shed Skin,Unnerve,Purple,Ground,Dragon,Ordinary,,False
32,25,25_0,Pikachu,Pikachu,1,0.4,6.0,Electric,,Static,,Lightning Rod,Yellow,Ground,Fairy,Ordinary,,False
33,26,26_0,Raichu,Raichu,1,0.8,30.0,Electric,,Static,,Lightning Rod,Yellow,Ground,Fairy,Ordinary,,False
34,26,26_1,Raichu,Alolan Raichu,7,0.7,21.0,Electric,Psychic,Surge Surfer,,,Brown,Ground,Fairy,Ordinary,Alolan,False
35,27,27_0,Sandshrew,Sandshrew,1,0.6,12.0,Ground,,Sand Veil,,Sand Rush,Yellow,Ground,,Ordinary,,False
36,27,27_1,Sandshrew,Alolan Sandshrew,7,0.7,40.0,Ice,Steel,Snow Cloak,,Slush Rush,White,Ground,,Ordinary,Alolan,False
37,28,28_0,Sandslash,Sandslash,1,1.0,29.5,Ground,,Sand Veil,,Sand Rush,Yellow,Ground,,Ordinary,,False
38,28,28_1,Sandslash,Alolan Sandslash,7,1.2,55.0,Ice,Steel,Snow Cloak,,Slush Rush,Blue,Ground,,Ordinary,Alolan,False
39,29,29_0,Nidoran F,Nidoran F,1,0.4,7.0,Poison,,Poison Point,Rivalry,Hustle,Blue,Monster,Ground,Ordinary,,False
40,30,30_0,Nidorina,Nidorina,1,0.8,20.0,Poison,,Poison Point,Rivalry,Hustle,Blue,Undiscovered,,Ordinary,,False
41,31,31_0,Nidoqueen,Nidoqueen,1,1.3,60.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue,Undiscovered,,Ordinary,,False
42,32,32_0,Nidoran M,Nidoran M,1,0.5,9.0,Poison,,Poison Point,Rivalry,Hustle,Purple,Monster,Ground,Ordinary,,False
43,33,33_0,Nidorino,Nidorino,1,0.9,19.5,Poison,,Poison Point,Rivalry,Hustle,Purple,Monster,Ground,Ordinary,,False
44,34,34_0,Nidoking,Nidoking,1,1.4,62.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple,Monster,Ground,Ordinary,,False
45,35,35_0,Clefairy,Clefairy,1,0.6,7.5,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink,Fairy,,Ordinary,,False
46,36,36_0,Clefable,Clefable,1,1.3,40.0,Fairy,,Cute Charm,Magic Guard,Unaware,Pink,Fairy,,Ordinary,,False
47,37,37_0,Vulpix,Vulpix,1,0.6,9.9,Fire,,Flash Fire,,Drought,Brown,Ground,,Ordinary,,False
48,37,37_1,Vulpix,Alolan Vulpix,7,0.6,9.9,Ice,,Snow Cloak,,Snow Warning,White,Ground,,Ordinary,Alolan,False
49,38,38_0,Ninetales,Ninetales,1,1.1,19.9,Fire,,Flash Fire,,Drought,Yellow,Ground,,Ordinary,,False
50,38,38_1,Ninetales,Alolan Ninetales,7,1.1,19.9,Ice,Fairy,Snow Cloak,,Snow Warning,Blue,Ground,,Ordinary,Alolan,False
51,39,39_0,Jigglypuff,Jigglypuff,1,0.5,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Pink,Fairy,,Ordinary,,False
52,40,40_0,Wigglytuff,Wigglytuff,1,1.0,12.0,Normal,Fairy,Cute Charm,Competitive,Frisk,Pink,Fairy,,Ordinary,,False
53,41,41_0,Zubat,Zubat,1,0.8,7.5,Poison,Flying,Inner Focus,,Infiltrator,Purple,Flying,,Ordinary,,False
54,42,42_0,Golbat,Golbat,1,1.6,55.0,Poison,Flying,Inner Focus,,Infiltrator,Purple,Flying,,Ordinary,,False
55,43,43_0,Oddish,Oddish,1,0.5,5.4,Grass,Poison,Chlorophyll,,Run Away,Blue,Grass,,Ordinary,,False
56,44,44_0,Gloom,Gloom,1,0.8,8.6,Grass,Poison,Chlorophyll,,Stench,Blue,Grass,,Ordinary,,False
57,45,45_0,Vileplume,Vileplume,1,1.2,18.6,Grass,Poison,Chlorophyll,,Effect Spore,Red,Grass,,Ordinary,,False
58,46,46_0,Paras,Paras,1,0.3,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,Bug,Grass,Ordinary,,False
59,47,47_0,Parasect,Parasect,1,1.0,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,Bug,Grass,Ordinary,,False
60,48,48_0,Venonat,Venonat,1,1.0,30.0,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Purple,Bug,,Ordinary,,False
61,49,49_0,Venomoth,Venomoth,1,1.5,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple,Bug,,Ordinary,,False
62,50,50_0,Diglett,Diglett,1,0.2,0.8,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,Ground,,Ordinary,,False
63,50,50_1,Diglett,Alolan Diglett,7,0.2,1.0,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,Ground,,Ordinary,Alolan,False
64,51,51_0,Dugtrio,Dugtrio,1,0.7,33.3,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,Ground,,Ordinary,,False
65,51,51_1,Dugtrio,Alolan Dugtrio,7,0.7,66.6,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,Ground,,Ordinary,Alolan,False
66,52,52_0,Meowth,Meowth,1,0.4,4.2,Normal,,Pickup,Technician,Unnerve,Yellow,Ground,,Ordinary,,False
67,52,52_1,Meowth,Alolan Meowth,7,0.4,4.2,Dark,,Pickup,Technician,Rattled,Blue,Ground,,Ordinary,Alolan,False
68,52,52_2,Meowth,Galarian Meowth,8,0.4,7.5,Steel,,Pickup,Tough Claws,Unnerve,Brown,Ground,,Ordinary,Galarian,False
69,53,53_0,Persian,Persian,1,1.0,32.0,Normal,,Limber,Technician,Unnerve,Yellow,Ground,,Ordinary,,False
70,53,53_1,Persian,Alolan Persian,7,1.1,33.0,Dark,,Fur Coat,Technician,Rattled,Blue,Ground,,Ordinary,Alolan,False
71,54,54_0,Psyduck,Psyduck,1,0.8,19.6,Water,,Damp,Cloud Nine,Swift Swim,Yellow,Water1,Ground,Ordinary,,False
72,55,55_0,Golduck,Golduck,1,1.7,76.6,Water,,Damp,Cloud Nine,Swift Swim,Blue,Water1,Ground,Ordinary,,False
73,56,56_0,Mankey,Mankey,1,0.5,28.0,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,Ground,,Ordinary,,False
74,57,57_0,Primeape,Primeape,1,1.0,32.0,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,Ground,,Ordinary,,False
75,58,58_0,Growlithe,Growlithe,1,0.7,19.0,Fire,,Intimidate,Flash Fire,Justified,Brown,Ground,,Ordinary,,False
76,58,58_1,Growlithe,Hisuian Growlithe,8,0.8,22.7,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,Ground,,Ordinary,Hisuian,False
77,59,59_0,Arcanine,Arcanine,1,1.9,155.0,Fire,,Intimidate,Flash Fire,Justified,Brown,Ground,,Ordinary,,False
78,59,59_1,Arcanine,Hisuian Arcanine,8,2.0,168.0,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,Ground,,Ordinary,Hisuian,False
79,60,60_0,Poliwag,Poliwag,1,0.6,12.4,Water,,Water Absorb,Damp,Swift Swim,Blue,Water1,,Ordinary,,False
80,61,61_0,Poliwhirl,Poliwhirl,1,1.0,20.0,Water,,Water Absorb,Damp,Swift Swim,Blue,Water1,,Ordinary,,False
81,62,62_0,Poliwrath,Poliwrath,1,1.3,54.0,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue,Water1,,Ordinary,,False
82,63,63_0,Abra,Abra,1,0.9,19.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,Human-Like,,Ordinary,,False
83,64,64_0,Kadabra,Kadabra,1,1.3,56.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,Human-Like,,Ordinary,,False
84,65,65_0,Alakazam,Alakazam,1,1.5,48.0,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,Human-Like,,Ordinary,,False
85,65,65_1,Alakazam,Mega Alakazam,1,1.2,48.0,Psychic,,Trace,,,Brown,Human-Like,,Ordinary,,True
86,66,66_0,Machop,Machop,1,0.8,19.5,Fighting,,Guts,No Guard,Steadfast,Gray,Human-Like,,Ordinary,,False
