No,Original_Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Egg_Group1,Egg_Group2,Category,is_mega,image_url,evolutionary_stage
1,Bulbasaur,1,0.7,6.9,Grass,Poison,Overgrow,,Chlorophyll,Green,Monster,Grass,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,1
2,Ivysaur,1,1,13,Grass,Poison,Overgrow,,Chlorophyll,Green,Monster,Grass,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,2
3,Venusaur,1,2,100,Grass,Poison,Overgrow,,Chlorophyll,Green,Monster,Grass,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,3
4,Charmander,1,0.6,8.5,Fire,,Blaze,,Solar Power,Red,Monster,Dragon,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,1
5,Charmeleon,1,1.1,19,Fire,,Blaze,,Solar Power,Red,Monster,Dragon,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,2
6,Charizard,1,1.7,90.5,Fire,Flying,Blaze,,Solar Power,Red,Monster,Dragon,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,3
7,Squirtle,1,0.5,9,Water,,Torrent,,Rain Dish,Blue,Monster,Water1,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,1
8,Wartortle,1,1,22.5,Water,,Torrent,,Rain Dish,Blue,Monster,Water1,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,2
9,Blastoise,1,1.6,85.5,Water,,Torrent,,Rain Dish,Blue,Monster,Water1,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,3
10,Caterpie,1,0.3,2.9,Bug,,Shield Dust,,Run Away,Green,Bug,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,1
11,Metapod,1,0.7,9.9,Bug,,Shed Skin,,,Green,Bug,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,2
12,Butterfree,1,1.1,32,Bug,Flying,Compound Eyes,,Tinted Lens,White,Bug,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,3
13,Weedle,1,0.3,3.2,Bug,Poison,Shield Dust,,Run Away,Brown,Bug,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,1
14,Kakuna,1,0.6,10,Bug,Poison,Shed Skin,,,Yellow,Bug,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,2
15,Beedrill,1,1,29.5,Bug,Poison,Swarm,,Sniper,Yellow,Bug,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,3
16,Pidgey,1,0.3,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,Flying,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,1
17,Pidgeotto,1,1.1,30,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,Flying,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,2
18,Pidgeot,1,1.5,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,Flying,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,3
19,Rattata,1,0.3,3.5,Normal,,Run Away,Guts,Hustle,Purple,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,1
20,Raticate,1,0.7,18.5,Normal,,Run Away,Guts,Hustle,Brown,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,2
21,Spearow,1,0.3,2,Normal,Flying,Keen Eye,,Sniper,Brown,Flying,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,1
22,Fearow,1,1.2,38,Normal,Flying,Keen Eye,,Sniper,Brown,Flying,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,2
23,Ekans,1,2,6.9,Poison,,Intimidate,Shed Skin,Unnerve,Purple,Ground,Dragon,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,1
24,Arbok,1,3.5,65,Poison,,Intimidate,Shed Skin,Unnerve,Purple,Ground,Dragon,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,2
25,Pikachu,1,0.4,6,Electric,,Static,,Lightning Rod,Yellow,Ground,Fairy,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,2
26,Raichu,1,0.8,30,Electric,,Static,,Lightning Rod,Yellow,Ground,Fairy,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,3
27,Sandshrew,1,0.6,12,Ground,,Sand Veil,,Sand Rush,Yellow,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,1
28,Sandslash,1,1,29.5,Ground,,Sand Veil,,Sand Rush,Yellow,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,2
